string_ubigeo_descripcion,int_ubigeo_departamento,int_ubigeo_provincia,int_ubigeo_distrito,int_ubigeo_dependecia,float_ubigeo_latitud,float_ubigeo_longitud
AMAZONAS,1,0,0,0,-16.399,-71.5364
ANCASH,1,0,0,0,-16.399,-71.5364
APURIMAC,1,0,0,0,-16.399,-71.5364
AREQUIPA,1,0,0,0,-16.399,-71.5364
AYACUCHO,1,0,0,0,-16.399,-71.5364
CAJAMARCA,1,0,0,0,-16.399,-71.5364
CUSCO,1,0,0,0,-16.399,-71.5364
HUANCAVELICA,1,0,0,0,-16.399,-71.5364
HUANUCO,1,0,0,0,-16.399,-71.5364
ICA,1,0,0,0,-16.399,-71.5364
JUNIN,1,0,0,0,-16.399,-71.5364
LA LIBERTAD,1,0,0,0,-16.399,-71.5364
LAMBAYEQUE,1,0,0,0,-16.399,-71.5364
LIMA,1,0,0,0,-16.399,-71.5364
LORETO,1,0,0,0,-16.399,-71.5364
MADRE DE DIOS,1,0,0,0,-16.399,-71.5364
MOQUEGUA,1,0,0,0,-16.399,-71.5364
PASCO,1,0,0,0,-16.399,-71.5364
PIURA,1,0,0,0,-16.399,-71.5364
PUNO,1,0,0,0,-16.399,-71.5364
SAN MARTIN,1,0,0,0,-16.399,-71.5364
TACNA,1,0,0,0,-16.399,-71.5364
TUMBES,1,0,0,0,-16.399,-71.5364
UCAYALI,1,0,0,0,-16.399,-71.5364
PROV. CONST. DEL CALLAO,1,0,0,0,-16.399,-71.5364
BAGUA,0,1,0,1,-16.399,-71.5364
BONGARA,0,1,0,1,-16.399,-71.5364
CHACHAPOYAS,0,1,0,1,-16.399,-71.5364
CONDORCANQUI,0,1,0,1,-16.399,-71.5364
LUYA,0,1,0,1,-16.399,-71.5364
RODRIGUEZ DE MENDOZA,0,1,0,1,-16.399,-71.5364
UTCUBAMBA,0,1,0,1,-16.399,-71.5364
AIJA,0,1,0,2,-16.399,-71.5364
ANTONIO RAYMONDI,0,1,0,2,-16.399,-71.5364
ASUNCION,0,1,0,2,-16.399,-71.5364
BOLOGNESI,0,1,0,2,-16.399,-71.5364
CARHUAZ,0,1,0,2,-16.399,-71.5364
CARLOS FERMIN FITZCARRALD,0,1,0,2,-16.399,-71.5364
CASMA,0,1,0,2,-16.399,-71.5364
CORONGO,0,1,0,2,-16.399,-71.5364
HUARAZ,0,1,0,2,-16.399,-71.5364
HUARI,0,1,0,2,-16.399,-71.5364
HUARMEY,0,1,0,2,-16.399,-71.5364
HUAYLAS,0,1,0,2,-16.399,-71.5364
MARISCAL LUZURIAGA,0,1,0,2,-16.399,-71.5364
OCROS,0,1,0,2,-16.399,-71.5364
PALLASCA,0,1,0,2,-16.399,-71.5364
POMABAMBA,0,1,0,2,-16.399,-71.5364
RECUAY,0,1,0,2,-16.399,-71.5364
SANTA,0,1,0,2,-16.399,-71.5364
SIHUAS,0,1,0,2,-16.399,-71.5364
YUNGAY,0,1,0,2,-16.399,-71.5364
ABANCAY,0,1,0,3,-16.399,-71.5364
ANDAHUAYLAS,0,1,0,3,-16.399,-71.5364
ANTABAMBA,0,1,0,3,-16.399,-71.5364
AYMARAES,0,1,0,3,-16.399,-71.5364
CHINCHEROS,0,1,0,3,-16.399,-71.5364
COTABAMBAS,0,1,0,3,-16.399,-71.5364
GRAU,0,1,0,3,-16.399,-71.5364
AREQUIPA,0,1,0,4,-16.399,-71.5364
CAMANA,0,1,0,4,-16.399,-71.5364
CARAVELI,0,1,0,4,-16.399,-71.5364
CASTILLA,0,1,0,4,-16.399,-71.5364
CAYLLOMA,0,1,0,4,-16.399,-71.5364
CONDESUYOS,0,1,0,4,-16.399,-71.5364
ISLAY,0,1,0,4,-16.399,-71.5364
LA UNION,0,1,0,4,-16.399,-71.5364
HUAMANGA,0,1,0,5,-16.399,-71.5364
CANGALLO,0,1,0,5,-16.399,-71.5364
HUANCA SANCOS,0,1,0,5,-16.399,-71.5364
HUANTA,0,1,0,5,-16.399,-71.5364
LA MAR,0,1,0,5,-16.399,-71.5364
LUCANAS,0,1,0,5,-16.399,-71.5364
PARINACOCHAS,0,1,0,5,-16.399,-71.5364
PAUCAR DEL SARA SARA,0,1,0,5,-16.399,-71.5364
SUCRE,0,1,0,5,-16.399,-71.5364
VICTOR FAJARDO,0,1,0,5,-16.399,-71.5364
VILCAS HUAMAN,0,1,0,5,-16.399,-71.5364
CAJAMARCA,0,1,0,6,-16.399,-71.5364
CAJABAMBA,0,1,0,6,-16.399,-71.5364
CELENDIN,0,1,0,6,-16.399,-71.5364
CHOTA,0,1,0,6,-16.399,-71.5364
CONTUMAZA,0,1,0,6,-16.399,-71.5364
CUTERVO,0,1,0,6,-16.399,-71.5364
HUALGAYOC,0,1,0,6,-16.399,-71.5364
JAEN,0,1,0,6,-16.399,-71.5364
SAN IGNACIO,0,1,0,6,-16.399,-71.5364
SAN MARCOS,0,1,0,6,-16.399,-71.5364
SAN MIGUEL,0,1,0,6,-16.399,-71.5364
"SAN PABLO	",0,1,0,6,-16.399,-71.5364
"SANTA CRUZ	",0,1,0,6,-16.399,-71.5364
CUSCO,0,1,0,7,-16.399,-71.5364
ACOMAYO,0,1,0,7,-16.399,-71.5364
ANTA,0,1,0,7,-16.399,-71.5364
CALCA,0,1,0,7,-16.399,-71.5364
CANAS,0,1,0,7,-16.399,-71.5364
CANCHIS,0,1,0,7,-16.399,-71.5364
CHUMBIVILCAS,0,1,0,7,-16.399,-71.5364
ESPINAR,0,1,0,7,-16.399,-71.5364
LA CONVENCION,0,1,0,7,-16.399,-71.5364
"PARURO	",0,1,0,7,-16.399,-71.5364
PAUCARTAMBO,0,1,0,7,-16.399,-71.5364
QUISPICANCHI,0,1,0,7,-16.399,-71.5364
URUBAMBA,0,1,0,7,-16.399,-71.5364
HUANCAVELICA,0,1,0,8,-16.399,-71.5364
ACOBAMBA,0,1,0,8,-16.399,-71.5364
ANGARAES,0,1,0,8,-16.399,-71.5364
CASTROVIRREYNA,0,1,0,8,-16.399,-71.5364
CHURCAMPA,0,1,0,8,-16.399,-71.5364
HUAYTARA,0,1,0,8,-16.399,-71.5364
TAYACAJA,0,1,0,8,-16.399,-71.5364
HUANUCO,0,1,0,9,-16.399,-71.5364
AMBO,0,1,0,9,-16.399,-71.5364
DOS DE MAYO,0,1,0,9,-16.399,-71.5364
HUACAYBAMBA,0,1,0,9,-16.399,-71.5364
HUAMALIES,0,1,0,9,-16.399,-71.5364
LEONCIO PRADO,0,1,0,9,-16.399,-71.5364
MARAÑON,0,1,0,9,-16.399,-71.5364
PACHITEA,0,1,0,9,-16.399,-71.5364
PUERTO INCA,0,1,0,9,-16.399,-71.5364
LAURICOCHA,0,1,0,9,-16.399,-71.5364
YAROWILCA,0,1,0,9,-16.399,-71.5364
ICA,0,1,0,10,-16.399,-71.5364
CHINCHA,0,1,0,10,-16.399,-71.5364
NAZCA,0,1,0,10,-16.399,-71.5364
PALPA,0,1,0,10,-16.399,-71.5364
PISCO,0,1,0,10,-16.399,-71.5364
HUANCAYO,0,1,0,11,-16.399,-71.5364
CONCEPCION,0,1,0,11,-16.399,-71.5364
CHANCHAMAYO,0,1,0,11,-16.399,-71.5364
JAUJA,0,1,0,11,-16.399,-71.5364
JUNIN,0,1,0,11,-16.399,-71.5364
SATIPO,0,1,0,11,-16.399,-71.5364
TARMA,0,1,0,11,-16.399,-71.5364
YAULI,0,1,0,11,-16.399,-71.5364
CHUPACA,0,1,0,11,-16.399,-71.5364
TRUJILLO,0,1,0,12,-16.399,-71.5364
ASCOPE,0,1,0,12,-16.399,-71.5364
BOLIVAR,0,1,0,12,-16.399,-71.5364
CHEPEN,0,1,0,12,-16.399,-71.5364
JULCAN,0,1,0,12,-16.399,-71.5364
OTUZCO,0,1,0,12,-16.399,-71.5364
PACASMAYO,0,1,0,12,-16.399,-71.5364
PATAZ,0,1,0,12,-16.399,-71.5364
SANCHEZ CARRION,0,1,0,12,-16.399,-71.5364
SANTIAGO DE CHUCO,0,1,0,12,-16.399,-71.5364
GRAN CHIMU,0,1,0,12,-16.399,-71.5364
VIRU,0,1,0,12,-16.399,-71.5364
CHICLAYO,0,1,0,13,-16.399,-71.5364
FERREÑAFE,0,1,0,13,-16.399,-71.5364
LAMBAYEQUE,0,1,0,13,-16.399,-71.5364
LIMA,0,1,0,14,-16.399,-71.5364
BARRANCA,0,1,0,14,-16.399,-71.5364
CAJATAMBO,0,1,0,14,-16.399,-71.5364
CANTA,0,1,0,14,-16.399,-71.5364
CAÑETE,0,1,0,14,-16.399,-71.5364
HUARAL,0,1,0,14,-16.399,-71.5364
HUAROCHIRI,0,1,0,14,-16.399,-71.5364
HUAURA,0,1,0,14,-16.399,-71.5364
OYON,0,1,0,14,-16.399,-71.5364
YAUYOS,0,1,0,14,-16.399,-71.5364
MAYNAS,0,1,0,15,-16.399,-71.5364
ALTO AMAZONAS,0,1,0,15,-16.399,-71.5364
LORETO,0,1,0,15,-16.399,-71.5364
MARISCAL RAMON CASTILLA,0,1,0,15,-16.399,-71.5364
REQUENA,0,1,0,15,-16.399,-71.5364
UCAYALI,0,1,0,15,-16.399,-71.5364
DATEM DEL MARAÑON,0,1,0,15,-16.399,-71.5364
TAMBOPATA,0,1,0,16,-16.399,-71.5364
MANU,0,1,0,16,-16.399,-71.5364
TAHUAMANU,0,1,0,16,-16.399,-71.5364
MARISCAL NIETO,0,1,0,17,-16.399,-71.5364
GENERAL SANCHEZ CERRO,0,1,0,17,-16.399,-71.5364
ILO,0,1,0,17,-16.399,-71.5364
PASCO,0,1,0,18,-16.399,-71.5364
DANIEL ALCIDES CARRION,0,1,0,18,-16.399,-71.5364
OXAPAMPA,0,1,0,18,-16.399,-71.5364
PIURA,0,1,0,19,-16.399,-71.5364
AYABACA,0,1,0,19,-16.399,-71.5364
HUANCABAMBA,0,1,0,19,-16.399,-71.5364
MORROPON,0,1,0,19,-16.399,-71.5364
PAITA,0,1,0,19,-16.399,-71.5364
SULLANA,0,1,0,19,-16.399,-71.5364
TALARA,0,1,0,19,-16.399,-71.5364
SECHURA,0,1,0,19,-16.399,-71.5364
PUNO,0,1,0,20,-16.399,-71.5364
AZANGARO,0,1,0,20,-16.399,-71.5364
CARABAYA,0,1,0,20,-16.399,-71.5364
CHUCUITO,0,1,0,20,-16.399,-71.5364
EL COLLAO,0,1,0,20,-16.399,-71.5364
HUANCANE,0,1,0,20,-16.399,-71.5364
LAMPA,0,1,0,20,-16.399,-71.5364
MELGAR,0,1,0,20,-16.399,-71.5364
MOHO,0,1,0,20,-16.399,-71.5364
SAN ANTONIO DE PUTINA,0,1,0,20,-16.399,-71.5364
SAN ROMAN,0,1,0,20,-16.399,-71.5364
SANDIA,0,1,0,20,-16.399,-71.5364
YUNGUYO,0,1,0,20,-16.399,-71.5364
MOYOBAMBA,0,1,0,21,-16.399,-71.5364
BELLAVISTA,0,1,0,21,-16.399,-71.5364
EL DORADO,0,1,0,21,-16.399,-71.5364
HUALLAGA,0,1,0,21,-16.399,-71.5364
LAMAS,0,1,0,21,-16.399,-71.5364
MARISCAL CACERES,0,1,0,21,-16.399,-71.5364
PICOTA,0,1,0,21,-16.399,-71.5364
RIOJA,0,1,0,21,-16.399,-71.5364
SAN MARTIN,0,1,0,21,-16.399,-71.5364
TOCACHE,0,1,0,21,-16.399,-71.5364
TACNA,0,1,0,22,-16.399,-71.5364
ANDARAVE,0,1,0,22,-16.399,-71.5364
JORGE BASADRE,0,1,0,22,-16.399,-71.5364
TARATA,0,1,0,22,-16.399,-71.5364
TUMBES,0,1,0,23,-16.399,-71.5364
CONTRALMIRANTE VILLAR,0,1,0,23,-16.399,-71.5364
ZARUMILLA,0,1,0,23,-16.399,-71.5364
CORONEL PORTILLO,0,1,0,24,-16.399,-71.5364
ATALAYA,0,1,0,24,-16.399,-71.5364
PADRE ABAD,0,1,0,24,-16.399,-71.5364
PURUS,0,1,0,24,-16.399,-71.5364
PROV. CONST. DEL CALLAO,0,1,0,25,-16.399,-71.5364
CHACHAPOYAS,0,0,1,28,-16.399,-71.5364
ASUNCION,0,0,1,28,-16.399,-71.5364
BALSAS,0,0,1,28,-16.399,-71.5364
CHETO,0,0,1,28,-16.399,-71.5364
CHILIQUIN,0,0,1,28,-16.399,-71.5364
CHUQUIBAMBA,0,0,1,28,-16.399,-71.5364
GRANADA,0,0,1,28,-16.399,-71.5364
HUANCAS,0,0,1,28,-16.399,-71.5364
LA JALCA,0,0,1,28,-16.399,-71.5364
LEIMEBAMBA,0,0,1,28,-16.399,-71.5364
LEVANTO,0,0,1,28,-16.399,-71.5364
MAGDALENA,0,0,1,28,-16.399,-71.5364
MARISCAL CASTILLA,0,0,1,28,-16.399,-71.5364
MOLINOPAMPA,0,0,1,28,-16.399,-71.5364
MONTEVIDEO,0,0,1,28,-16.399,-71.5364
OLLEROS,0,0,1,28,-16.399,-71.5364
QUINJALCA,0,0,1,28,-16.399,-71.5364
SAN FRANCISCO DE DAGUAS,0,0,1,28,-16.399,-71.5364
SAN ISIDRO DE MAINO,0,0,1,28,-16.399,-71.5364
SOLOCO,0,0,1,28,-16.399,-71.5364
SONCHE,0,0,1,28,-16.399,-71.5364
BAGUA,0,0,1,26,-16.399,-71.5364
ARAMANGO,0,0,1,26,-16.399,-71.5364
COPALLIN,0,0,1,26,-16.399,-71.5364
EL PARCO,0,0,1,26,-16.399,-71.5364
IMAZA,0,0,1,26,-16.399,-71.5364
LA PECA,0,0,1,26,-16.399,-71.5364
JUMBILLA,0,0,1,27,-16.399,-71.5364
CHISQUILLA,0,0,1,27,-16.399,-71.5364
CHURUJA,0,0,1,27,-16.399,-71.5364
COROSHA,0,0,1,27,-16.399,-71.5364
CUISPES,0,0,1,27,-16.399,-71.5364
FLORIDA,0,0,1,27,-16.399,-71.5364
JAZAN,0,0,1,27,-16.399,-71.5364
RECTA,0,0,1,27,-16.399,-71.5364
SAN CARLOS,0,0,1,27,-16.399,-71.5364
SHIPASBAMBA,0,0,1,27,-16.399,-71.5364
VALERA,0,0,1,27,-16.399,-71.5364
YAMBRASBAMBA,0,0,1,27,-16.399,-71.5364
NIEVA,0,0,1,29,-16.399,-71.5364
EL CENEPA,0,0,1,29,-16.399,-71.5364
RIO SANTIAGO,0,0,1,29,-16.399,-71.5364
LAMUD,0,0,1,30,-16.399,-71.5364
CAMPORREDONDO,0,0,1,30,-16.399,-71.5364
COCABAMBA,0,0,1,30,-16.399,-71.5364
COLCAMAR,0,0,1,30,-16.399,-71.5364
CONILA,0,0,1,30,-16.399,-71.5364
INGUILPATA,0,0,1,30,-16.399,-71.5364
LONGUITA,0,0,1,30,-16.399,-71.5364
LONYA CHICO,0,0,1,30,-16.399,-71.5364
LUYA,0,0,1,30,-16.399,-71.5364
LUYA VIEJO,0,0,1,30,-16.399,-71.5364
MARIA,0,0,1,30,-16.399,-71.5364
OCALLI,0,0,1,30,-16.399,-71.5364
OCUMAL,0,0,1,30,-16.399,-71.5364
PISUQUIA,0,0,1,30,-16.399,-71.5364
PROVIDENCIA,0,0,1,30,-16.399,-71.5364
SAN CRISTOBAL,0,0,1,30,-16.399,-71.5364
SAN FRANCISCO DEL YESO,0,0,1,30,-16.399,-71.5364
SAN JERONIMO,0,0,1,30,-16.399,-71.5364
SAN JUAN DE LOPECANCHA,0,0,1,30,-16.399,-71.5364
SANTA CATALINA,0,0,1,30,-16.399,-71.5364
SANTO TOMAS,0,0,1,30,-16.399,-71.5364
TINGO,0,0,1,30,-16.399,-71.5364
TRITA,0,0,1,30,-16.399,-71.5364
SAN NICOLAS,0,0,1,31,-16.399,-71.5364
CHIRIMOTO,0,0,1,31,-16.399,-71.5364
COCHAMAL,0,0,1,31,-16.399,-71.5364
HUAMBO,0,0,1,31,-16.399,-71.5364
LIMABAMBA,0,0,1,31,-16.399,-71.5364
LONGAR,0,0,1,31,-16.399,-71.5364
MARISCAL BENAVIDES,0,0,1,31,-16.399,-71.5364
MILPUC,0,0,1,31,-16.399,-71.5364
OMIA,0,0,1,31,-16.399,-71.5364
SANTA ROSA,0,0,1,31,-16.399,-71.5364
TOTORA,0,0,1,31,-16.399,-71.5364
VISTA ALEGRE,0,0,1,31,-16.399,-71.5364
BAGUA GRANDE,0,0,1,32,-16.399,-71.5364
CAJARURO,0,0,1,32,-16.399,-71.5364
CUMBA,0,0,1,32,-16.399,-71.5364
EL MILAGRO,0,0,1,32,-16.399,-71.5364
JAMALCA,0,0,1,32,-16.399,-71.5364
LONYA GRANDE,0,0,1,32,-16.399,-71.5364
YAMON,0,0,1,32,-16.399,-71.5364
AIJA,0,0,1,33,-16.399,-71.5364
CORIS,0,0,1,33,-16.399,-71.5364
HUACLLAN,0,0,1,33,-16.399,-71.5364
LA MERCED,0,0,1,33,-16.399,-71.5364
SUCCHA,0,0,1,33,-16.399,-71.5364
LLAMELLIN,0,0,1,34,-16.399,-71.5364
ACZO,0,0,1,34,-16.399,-71.5364
CHACCHO,0,0,1,34,-16.399,-71.5364
CHINGAS,0,0,1,34,-16.399,-71.5364
MIRGAS,0,0,1,34,-16.399,-71.5364
SAN JUAN DE RONTOY,0,0,1,34,-16.399,-71.5364
CHACAS,0,0,1,35,-16.399,-71.5364
ACOCHACA,0,0,1,35,-16.399,-71.5364
CHIQUIAN,0,0,1,36,-16.399,-71.5364
ABELARDO PARDO LEZAMETA,0,0,1,36,-16.399,-71.5364
ANTONIO RAYMONDI,0,0,1,36,-16.399,-71.5364
AQUIA,0,0,1,36,-16.399,-71.5364
CAJACAY,0,0,1,36,-16.399,-71.5364
CANIS,0,0,1,36,-16.399,-71.5364
COLQUIOC,0,0,1,36,-16.399,-71.5364
HUALLANCA,0,0,1,36,-16.399,-71.5364
HUASTA,0,0,1,36,-16.399,-71.5364
HUAYLLACAYAN,0,0,1,36,-16.399,-71.5364
LA PRIMAVERA,0,0,1,36,-16.399,-71.5364
MANGAS,0,0,1,36,-16.399,-71.5364
PACLLON,0,0,1,36,-16.399,-71.5364
SAN MIGUEL DE CORPANQUI,0,0,1,36,-16.399,-71.5364
TICLLOS,0,0,1,36,-16.399,-71.5364
CARHUAZ,0,0,1,37,-16.399,-71.5364
ACOPAMPA,0,0,1,37,-16.399,-71.5364
AMASHCA,0,0,1,37,-16.399,-71.5364
ANTA,0,0,1,37,-16.399,-71.5364
ATAQUERO,0,0,1,37,-16.399,-71.5364
MARCARA,0,0,1,37,-16.399,-71.5364
PARIAHUANCA,0,0,1,37,-16.399,-71.5364
SAN MIGUEL DE ACO,0,0,1,37,-16.399,-71.5364
SHILLA,0,0,1,37,-16.399,-71.5364
TINCO,0,0,1,37,-16.399,-71.5364
YUNGAR,0,0,1,37,-16.399,-71.5364
SAN LUIS,0,0,1,38,-16.399,-71.5364
SAN NICOLAS,0,0,1,38,-16.399,-71.5364
YAUYA,0,0,1,38,-16.399,-71.5364
CASMA,0,0,1,39,-16.399,-71.5364
BUENA VISTA ALTA,0,0,1,39,-16.399,-71.5364
COMANDANTE NOEL,0,0,1,39,-16.399,-71.5364
YAUTAN,0,0,1,39,-16.399,-71.5364
CORONGO,0,0,1,40,-16.399,-71.5364
ACO,0,0,1,40,-16.399,-71.5364
BAMBAS,0,0,1,40,-16.399,-71.5364
CUSCA,0,0,1,40,-16.399,-71.5364
LA PAMPA,0,0,1,40,-16.399,-71.5364
YANAC,0,0,1,40,-16.399,-71.5364
YUPAN,0,0,1,40,-16.399,-71.5364
HUARAZ,0,0,1,41,-16.399,-71.5364
COCHABAMBA,0,0,1,41,-16.399,-71.5364
COLCABAMBA,0,0,1,41,-16.399,-71.5364
HUANCHAY,0,0,1,41,-16.399,-71.5364
INDEPENDENCIA,0,0,1,41,-16.399,-71.5364
JANGAS,0,0,1,41,-16.399,-71.5364
LA LIBERTAD,0,0,1,41,-16.399,-71.5364
OLLEROS,0,0,1,41,-16.399,-71.5364
PAMPAS,0,0,1,41,-16.399,-71.5364
PARIACOTO,0,0,1,41,-16.399,-71.5364
PIRA,0,0,1,41,-16.399,-71.5364
TARICA,0,0,1,41,-16.399,-71.5364
HUARMEY,0,0,1,43,-16.399,-71.5364
COCHAPETI,0,0,1,43,-16.399,-71.5364
CULEBRAS,0,0,1,43,-16.399,-71.5364
HUAYAN,0,0,1,43,-16.399,-71.5364
MALVAS,0,0,1,43,-16.399,-71.5364
CARAZ,0,0,1,44,-16.399,-71.5364
HUALLANCA,0,0,1,44,-16.399,-71.5364
HUATA,0,0,1,44,-16.399,-71.5364
HUAYLAS,0,0,1,44,-16.399,-71.5364
MATO,0,0,1,44,-16.399,-71.5364
PAMPAROMAS,0,0,1,44,-16.399,-71.5364
PUEBLO LIBRE,0,0,1,44,-16.399,-71.5364
SANTA CRUZ,0,0,1,44,-16.399,-71.5364
SANTO TORIBIO,0,0,1,44,-16.399,-71.5364
YURACMARCA,0,0,1,44,-16.399,-71.5364
PISCOBAMBA,0,0,1,44,-16.399,-71.5364
CASCA,0,0,1,45,-16.399,-71.5364
ELEAZAR GUZMAN BARRON,0,0,1,45,-16.399,-71.5364
FIDEL OLIVAS ESCUDERO,0,0,1,45,-16.399,-71.5364
LLAMA,0,0,1,45,-16.399,-71.5364
LLUMPA,0,0,1,45,-16.399,-71.5364
LUCMA,0,0,1,45,-16.399,-71.5364
MUSGA,0,0,1,45,-16.399,-71.5364
OCROS,0,0,1,46,-16.399,-71.5364
ACAS,0,0,1,46,-16.399,-71.5364
CAJAMARQUILLA,0,0,1,46,-16.399,-71.5364
CARHUAPAMPA,0,0,1,46,-16.399,-71.5364
COCHAS,0,0,1,46,-16.399,-71.5364
CONGAS,0,0,1,46,-16.399,-71.5364
LLIPA,0,0,1,46,-16.399,-71.5364
SAN CRISTOBAL DE RAJAN,0,0,1,46,-16.399,-71.5364
SAN PEDRO,0,0,1,46,-16.399,-71.5364
SANTIAGO DE CHILCAS,0,0,1,46,-16.399,-71.5364
CABANA,0,0,1,47,-16.399,-71.5364
BOLOGNESI,0,0,1,47,-16.399,-71.5364
CONCHUCOS,0,0,1,47,-16.399,-71.5364
HUACASCHUQUE,0,0,1,47,-16.399,-71.5364
HUANDOVAL,0,0,1,47,-16.399,-71.5364
LACABAMBA,0,0,1,47,-16.399,-71.5364
LLAPO,0,0,1,47,-16.399,-71.5364
PALLASCA,0,0,1,47,-16.399,-71.5364
PAMPAS,0,0,1,47,-16.399,-71.5364
SANTA ROSA,0,0,1,47,-16.399,-71.5364
TAUCA,0,0,1,47,-16.399,-71.5364
POMABAMBA,0,0,1,48,-16.399,-71.5364
HUAYLLAN,0,0,1,48,-16.399,-71.5364
PAROBAMBA,0,0,1,48,-16.399,-71.5364
QUINUABAMBA,0,0,1,48,-16.399,-71.5364
RECUAY,0,0,1,49,-16.399,-71.5364
CATAC,0,0,1,49,-16.399,-71.5364
COTAPARACO,0,0,1,49,-16.399,-71.5364
HUAYLLAPAMPA,0,0,1,49,-16.399,-71.5364
LLACLLIN,0,0,1,49,-16.399,-71.5364
MARCA,0,0,1,49,-16.399,-71.5364
PAMPAS CHICO,0,0,1,49,-16.399,-71.5364
